"","date","day","registered","casual","temp","weather"
"256",2011-09-13,"Tue",4062,701,86,"pleasant"
"257",2011-09-14,"Wed",4138,647,88,"pleasant"
"258",2011-09-15,"Thu",3231,428,82,"moderate"
"259",2011-09-16,"Fri",4018,742,74,"moderate"
"260",2011-09-17,"Sat",3077,1434,75,"moderate"
"261",2011-09-18,"Sun",2921,1353,76,"pleasant"
"262",2011-09-19,"Mon",3848,691,80,"moderate"
"263",2011-09-20,"Tue",3203,438,80,"moderate"
"264",2011-09-21,"Wed",3813,539,82,"moderate"
"265",2011-09-22,"Thu",4240,555,82,"moderate"
"266",2011-09-23,"Fri",2137,258,79,"moderate"
"267",2011-09-24,"Sat",3647,1776,83,"moderate"
"268",2011-09-25,"Sun",3466,1544,84,"moderate"
"269",2011-09-26,"Mon",3946,684,85,"moderate"
"270",2011-09-27,"Tue",3643,477,84,"moderate"
"271",2011-09-28,"Wed",3427,480,84,"moderate"
"272",2011-09-29,"Thu",4186,653,84,"pleasant"
"273",2011-09-30,"Fri",4372,830,81,"pleasant"
"274",2011-10-01,"Sat",1949,480,69,"moderate"
"275",2011-10-02,"Sun",2302,616,63,"moderate"
"276",2011-10-03,"Mon",3240,330,67,"moderate"
"277",2011-10-04,"Tue",3970,486,75,"pleasant"
"278",2011-10-05,"Wed",4267,559,79,"pleasant"
"279",2011-10-06,"Thu",4126,639,75,"pleasant"
"280",2011-10-07,"Fri",4036,949,77,"pleasant"
"281",2011-10-08,"Sat",3174,2235,78,"pleasant"
"282",2011-10-09,"Sun",3114,2397,79,"pleasant"
"283",2011-10-10,"Mon",3603,1514,81,"pleasant"
"284",2011-10-11,"Tue",3896,667,81,"moderate"
"285",2011-10-12,"Wed",2199,217,79,"severe"
"286",2011-10-13,"Thu",2623,290,82,"moderate"
"287",2011-10-14,"Fri",3115,529,80,"moderate"
"288",2011-10-15,"Sat",3318,1899,77,"pleasant"
"289",2011-10-16,"Sun",3293,1748,77,"pleasant"
"290",2011-10-17,"Mon",3857,713,78,"pleasant"
"291",2011-10-18,"Tue",4111,637,79,"moderate"
"292",2011-10-19,"Wed",2170,254,78,"severe"
"293",2011-10-20,"Thu",3724,471,74,"pleasant"
"294",2011-10-21,"Fri",3628,676,70,"pleasant"
"295",2011-10-22,"Sat",2809,1499,70,"pleasant"
"296",2011-10-23,"Sun",2762,1619,70,"pleasant"
"297",2011-10-24,"Mon",3488,699,73,"pleasant"
"298",2011-10-25,"Tue",3992,695,74,"pleasant"
"299",2011-10-26,"Wed",3490,404,75,"moderate"
"300",2011-10-27,"Thu",2419,240,73,"moderate"
"301",2011-10-28,"Fri",3291,456,61,"moderate"
"302",2011-10-29,"Sat",570,57,53,"severe"
"303",2011-10-30,"Sun",2446,885,61,"pleasant"
"304",2011-10-31,"Mon",3307,362,64,"pleasant"
"305",2011-11-01,"Tue",3658,410,68,"pleasant"
"306",2011-11-02,"Wed",3816,370,67,"pleasant"
"307",2011-11-03,"Thu",3656,318,69,"pleasant"
"308",2011-11-04,"Fri",3576,470,68,"moderate"
"309",2011-11-05,"Sat",2770,1156,61,"pleasant"
"310",2011-11-06,"Sun",2697,952,65,"pleasant"
"311",2011-11-07,"Mon",3662,373,68,"pleasant"
"312",2011-11-08,"Tue",3829,376,69,"pleasant"
"313",2011-11-09,"Wed",3804,305,69,"pleasant"
"314",2011-11-10,"Thu",2743,190,66,"moderate"
"315",2011-11-11,"Fri",2928,440,60,"pleasant"
"316",2011-11-12,"Sat",2792,1275,64,"pleasant"
"317",2011-11-13,"Sun",2713,1004,71,"pleasant"
"318",2011-11-14,"Mon",3891,595,79,"pleasant"
"319",2011-11-15,"Tue",3746,449,78,"moderate"
"320",2011-11-16,"Wed",1672,145,73,"severe"
"321",2011-11-17,"Thu",2914,139,61,"moderate"
"322",2011-11-18,"Fri",3147,245,57,"pleasant"
"323",2011-11-19,"Sat",2720,943,61,"pleasant"
"324",2011-11-20,"Sun",2733,787,73,"moderate"
"325",2011-11-21,"Mon",2545,220,72,"severe"
"326",2011-11-22,"Tue",1538,69,70,"severe"
"327",2011-11-23,"Wed",2454,112,71,"moderate"
"328",2011-11-24,"Thu",935,560,66,"pleasant"
"329",2011-11-25,"Fri",1697,1095,66,"pleasant"
"330",2011-11-26,"Sat",1819,1249,67,"pleasant"
"331",2011-11-27,"Sun",2261,810,73,"pleasant"
"332",2011-11-28,"Mon",3614,253,76,"pleasant"
"333",2011-11-29,"Tue",2818,96,73,"moderate"
"334",2011-11-30,"Wed",3425,188,60,"pleasant"
"335",2011-12-01,"Thu",3545,182,59,"pleasant"
"336",2011-12-02,"Fri",3672,268,62,"pleasant"
"337",2011-12-03,"Sat",2908,706,60,"pleasant"
"338",2011-12-04,"Sun",2851,634,63,"pleasant"
"339",2011-12-05,"Mon",3578,233,67,"moderate"
"340",2011-12-06,"Tue",2468,126,73,"severe"
"341",2011-12-07,"Wed",655,50,68,"severe"
"342",2011-12-08,"Thu",3172,150,55,"pleasant"
"343",2011-12-09,"Fri",3359,261,61,"pleasant"
"344",2011-12-10,"Sat",2688,502,56,"pleasant"
"345",2011-12-11,"Sun",2366,377,55,"pleasant"
"346",2011-12-12,"Mon",3167,143,56,"pleasant"
"347",2011-12-13,"Tue",3368,155,59,"pleasant"
"348",2011-12-14,"Wed",3562,178,62,"moderate"
"349",2011-12-15,"Thu",3528,181,69,"moderate"
"350",2011-12-16,"Fri",3399,178,64,"moderate"
"351",2011-12-17,"Sat",2464,275,54,"moderate"
"352",2011-12-18,"Sun",2211,220,54,"pleasant"
"353",2011-12-19,"Mon",3143,260,57,"pleasant"
"354",2011-12-20,"Tue",3534,216,68,"moderate"
"355",2011-12-21,"Wed",2553,107,71,"moderate"
"356",2011-12-22,"Thu",2841,227,70,"moderate"
"357",2011-12-23,"Fri",2046,163,66,"pleasant"
"358",2011-12-24,"Sat",856,155,59,"pleasant"
"359",2011-12-25,"Sun",451,303,57,"pleasant"
"360",2011-12-26,"Mon",887,430,60,"pleasant"
"361",2011-12-27,"Tue",1059,103,61,"moderate"
"362",2011-12-28,"Wed",2047,255,57,"pleasant"
"363",2011-12-29,"Thu",2169,254,56,"pleasant"
"364",2011-12-30,"Fri",2508,491,61,"pleasant"
"365",2011-12-31,"Sat",1820,665,69,"pleasant"
"366",2012-01-01,"Sun",1608,686,66,"pleasant"
"367",2012-01-02,"Mon",1707,244,55,"pleasant"
"368",2012-01-03,"Tue",2147,89,43,"pleasant"
"369",2012-01-04,"Wed",2273,95,43,"moderate"
"370",2012-01-05,"Thu",3132,140,57,"pleasant"
"371",2012-01-06,"Fri",3791,307,63,"pleasant"
"372",2012-01-07,"Sat",3451,1070,67,"pleasant"
"373",2012-01-08,"Sun",2826,599,63,"pleasant"
"374",2012-01-09,"Mon",2270,106,54,"moderate"
"375",2012-01-10,"Tue",3425,173,61,"pleasant"
"376",2012-01-11,"Wed",2085,92,57,"moderate"
"377",2012-01-12,"Thu",3828,269,66,"moderate"
"378",2012-01-13,"Fri",3040,174,54,"pleasant"
"379",2012-01-14,"Sat",2160,333,48,"pleasant"
"380",2012-01-15,"Sun",2027,284,47,"pleasant"
"381",2012-01-16,"Mon",2081,217,49,"pleasant"
"382",2012-01-17,"Tue",2808,127,65,"moderate"
"383",2012-01-18,"Wed",3267,109,57,"pleasant"
"384",2012-01-19,"Thu",3162,130,49,"pleasant"
"385",2012-01-20,"Fri",3048,115,52,"moderate"
"386",2012-01-21,"Sat",1234,67,48,"moderate"
"387",2012-01-22,"Sun",1781,196,47,"moderate"
"388",2012-01-23,"Mon",2287,145,54,"moderate"
"389",2012-01-24,"Tue",3900,439,63,"pleasant"
"390",2012-01-25,"Wed",3803,467,59,"pleasant"
"391",2012-01-26,"Thu",3831,244,64,"moderate"
"392",2012-01-27,"Fri",3187,269,69,"moderate"
"393",2012-01-28,"Sat",3248,775,61,"pleasant"
"394",2012-01-29,"Sun",2685,558,57,"pleasant"
"395",2012-01-30,"Mon",3498,126,56,"pleasant"
"396",2012-01-31,"Tue",4185,324,66,"pleasant"
"397",2012-02-01,"Wed",4275,304,74,"pleasant"
"398",2012-02-02,"Thu",3571,190,68,"moderate"
"399",2012-02-03,"Fri",3841,310,60,"pleasant"
"400",2012-02-04,"Sat",2448,384,57,"moderate"
"401",2012-02-05,"Sun",2629,318,56,"moderate"
"402",2012-02-06,"Mon",3578,206,59,"pleasant"
"403",2012-02-07,"Tue",4176,199,64,"pleasant"
"404",2012-02-08,"Wed",2693,109,56,"moderate"
"405",2012-02-09,"Thu",3667,163,56,"pleasant"
"406",2012-02-10,"Fri",3604,227,58,"moderate"
"407",2012-02-11,"Sat",1977,192,51,"severe"
"408",2012-02-12,"Sun",1456,73,41,"pleasant"
"409",2012-02-13,"Mon",3328,94,53,"pleasant"
"410",2012-02-14,"Tue",3787,135,62,"moderate"
"411",2012-02-15,"Wed",4028,141,64,"pleasant"
"412",2012-02-16,"Thu",2931,74,62,"moderate"
"413",2012-02-17,"Fri",3805,349,64,"pleasant"
"414",2012-02-18,"Sat",2883,1435,64,"pleasant"
"415",2012-02-19,"Sun",2071,618,56,"moderate"
"416",2012-02-20,"Mon",2627,502,57,"pleasant"
"417",2012-02-21,"Tue",3614,163,59,"pleasant"
"418",2012-02-22,"Wed",4379,394,67,"pleasant"
"419",2012-02-23,"Thu",4546,516,72,"pleasant"
"420",2012-02-24,"Fri",3241,246,69,"moderate"
"421",2012-02-25,"Sat",2415,317,55,"pleasant"
"422",2012-02-26,"Sun",2874,515,56,"pleasant"
"423",2012-02-27,"Mon",4069,253,64,"pleasant"
"424",2012-02-28,"Tue",4134,229,64,"pleasant"
"425",2012-02-29,"Wed",1769,65,63,"moderate"
"426",2012-03-01,"Thu",4665,325,75,"pleasant"
"427",2012-03-02,"Fri",2948,246,64,"moderate"
"428",2012-03-03,"Sat",3110,956,69,"moderate"
"429",2012-03-04,"Sun",2713,710,59,"pleasant"
"430",2012-03-05,"Mon",3130,203,54,"pleasant"
"431",2012-03-06,"Tue",3735,221,55,"pleasant"
"432",2012-03-07,"Wed",4484,432,67,"pleasant"
"433",2012-03-08,"Thu",4896,486,79,"pleasant"
"434",2012-03-09,"Fri",4122,447,68,"moderate"
"435",2012-03-10,"Sat",3150,968,57,"pleasant"
"436",2012-03-11,"Sun",3253,1658,64,"pleasant"
"437",2012-03-12,"Mon",4460,838,73,"pleasant"
"438",2012-03-13,"Tue",5085,762,81,"pleasant"
"439",2012-03-14,"Wed",5315,997,81,"pleasant"
"440",2012-03-15,"Thu",5187,1005,80,"pleasant"
"441",2012-03-16,"Fri",3830,548,71,"moderate"
"442",2012-03-17,"Sat",4681,3155,77,"moderate"
"443",2012-03-18,"Sun",3685,2207,74,"moderate"
"444",2012-03-19,"Mon",5171,982,80,"pleasant"
"445",2012-03-20,"Tue",5042,1051,80,"pleasant"
"446",2012-03-21,"Wed",5108,1122,78,"moderate"
"447",2012-03-22,"Thu",5537,1334,80,"pleasant"
"448",2012-03-23,"Fri",5893,2469,83,"moderate"
"449",2012-03-24,"Sat",2339,1033,76,"moderate"
"450",2012-03-25,"Sun",3464,1532,71,"moderate"
"451",2012-03-26,"Mon",4763,795,71,"pleasant"
"452",2012-03-27,"Tue",4571,531,60,"pleasant"
"453",2012-03-28,"Wed",5024,674,74,"pleasant"
"454",2012-03-29,"Thu",5299,834,75,"pleasant"
"455",2012-03-30,"Fri",4663,796,66,"moderate"
"456",2012-03-31,"Sat",3934,2301,70,"moderate"
"457",2012-04-01,"Sun",3694,2347,70,"moderate"
"458",2012-04-02,"Mon",4728,1208,70,"pleasant"
"459",2012-04-03,"Tue",5424,1348,74,"pleasant"
"460",2012-04-04,"Wed",5378,1058,80,"pleasant"
"461",2012-04-05,"Thu",5265,1192,71,"pleasant"
"462",2012-04-06,"Fri",4653,1807,67,"pleasant"
"463",2012-04-07,"Sat",3605,3252,70,"pleasant"
"464",2012-04-08,"Sun",2939,2230,76,"pleasant"
"465",2012-04-09,"Mon",4680,905,75,"pleasant"
"466",2012-04-10,"Tue",5099,819,71,"pleasant"
"467",2012-04-11,"Wed",4380,482,62,"pleasant"
"468",2012-04-12,"Thu",4746,663,67,"pleasant"
"469",2012-04-13,"Fri",5146,1252,71,"pleasant"
"470",2012-04-14,"Sat",4665,2795,76,"pleasant"
"471",2012-04-15,"Sun",4286,2846,84,"pleasant"
"472",2012-04-16,"Mon",5172,1198,87,"pleasant"
"473",2012-04-17,"Tue",5702,989,86,"pleasant"
"474",2012-04-18,"Wed",4020,347,73,"moderate"
"475",2012-04-19,"Thu",5719,846,76,"pleasant"
"476",2012-04-20,"Fri",5950,1340,78,"pleasant"
"477",2012-04-21,"Sat",4083,2541,81,"pleasant"
"478",2012-04-22,"Sun",907,120,67,"severe"
"479",2012-04-23,"Mon",3019,195,59,"moderate"
"480",2012-04-24,"Tue",5115,518,68,"pleasant"
"481",2012-04-25,"Wed",5541,655,74,"pleasant"
"482",2012-04-26,"Thu",4551,475,76,"moderate"
"483",2012-04-27,"Fri",5219,1014,73,"pleasant"
"484",2012-04-28,"Sat",3100,1120,66,"moderate"
"485",2012-04-29,"Sun",4075,2229,73,"pleasant"
