"date","births","year","month","day_of_month","day_of_week"
1969-02-10,9954,1969,"Feb",10,"Mon"
1969-02-11,9856,1969,"Feb",11,"Tue"
1969-02-12,10008,1969,"Feb",12,"Wed"
1969-02-13,9606,1969,"Feb",13,"Thu"
1969-02-14,10354,1969,"Feb",14,"Fri"
1969-02-15,9310,1969,"Feb",15,"Sat"
1969-02-16,8534,1969,"Feb",16,"Sun"
1969-02-17,9822,1969,"Feb",17,"Mon"
1969-02-18,10176,1969,"Feb",18,"Tue"
1969-02-19,9816,1969,"Feb",19,"Wed"
1969-02-20,9982,1969,"Feb",20,"Thu"
1969-02-21,9916,1969,"Feb",21,"Fri"
1969-02-22,9152,1969,"Feb",22,"Sat"
1969-02-23,8704,1969,"Feb",23,"Sun"
1969-02-24,9966,1969,"Feb",24,"Mon"
1969-02-25,10566,1969,"Feb",25,"Tue"
1969-02-26,10048,1969,"Feb",26,"Wed"
1969-02-27,9618,1969,"Feb",27,"Thu"
1969-02-28,9756,1969,"Feb",28,"Fri"
1969-03-01,9252,1969,"Mar",1,"Sat"
1969-03-02,8632,1969,"Mar",2,"Sun"
1969-03-03,10112,1969,"Mar",3,"Mon"
1969-03-04,10264,1969,"Mar",4,"Tue"
1969-03-05,10046,1969,"Mar",5,"Wed"
1969-03-06,9704,1969,"Mar",6,"Thu"
1969-03-07,9948,1969,"Mar",7,"Fri"
1969-03-08,9334,1969,"Mar",8,"Sat"
1969-03-09,8394,1969,"Mar",9,"Sun"
1969-03-10,9892,1969,"Mar",10,"Mon"
1969-03-11,10188,1969,"Mar",11,"Tue"
1969-03-12,9776,1969,"Mar",12,"Wed"
1969-03-13,9640,1969,"Mar",13,"Thu"
1969-03-14,10034,1969,"Mar",14,"Fri"
1969-03-15,8838,1969,"Mar",15,"Sat"
1969-03-16,8336,1969,"Mar",16,"Sun"
1969-03-17,10128,1969,"Mar",17,"Mon"
1969-03-18,10136,1969,"Mar",18,"Tue"
1969-03-19,10064,1969,"Mar",19,"Wed"
1969-03-20,9812,1969,"Mar",20,"Thu"
1969-03-21,9902,1969,"Mar",21,"Fri"
1969-03-22,8962,1969,"Mar",22,"Sat"
1969-03-23,8602,1969,"Mar",23,"Sun"
1969-03-24,9802,1969,"Mar",24,"Mon"
1969-03-25,10272,1969,"Mar",25,"Tue"
1969-03-26,9818,1969,"Mar",26,"Wed"
1969-03-27,9698,1969,"Mar",27,"Thu"
1969-03-28,10326,1969,"Mar",28,"Fri"
1969-03-29,8908,1969,"Mar",29,"Sat"
1969-03-30,8186,1969,"Mar",30,"Sun"
1969-03-31,9592,1969,"Mar",31,"Mon"
1969-04-01,9960,1969,"Apr",1,"Tue"
1969-04-02,9978,1969,"Apr",2,"Wed"
1969-04-03,9530,1969,"Apr",3,"Thu"
1969-04-04,9572,1969,"Apr",4,"Fri"
1969-04-05,8748,1969,"Apr",5,"Sat"
1969-04-06,8008,1969,"Apr",6,"Sun"
1969-04-07,9374,1969,"Apr",7,"Mon"
1969-04-08,10176,1969,"Apr",8,"Tue"
1969-04-09,9852,1969,"Apr",9,"Wed"
1969-04-10,9708,1969,"Apr",10,"Thu"
1969-04-11,9920,1969,"Apr",11,"Fri"
1969-04-12,8940,1969,"Apr",12,"Sat"
1969-04-13,8134,1969,"Apr",13,"Sun"
1969-04-14,9566,1969,"Apr",14,"Mon"
1969-04-15,10428,1969,"Apr",15,"Tue"
1969-04-16,9840,1969,"Apr",16,"Wed"
1969-04-17,9876,1969,"Apr",17,"Thu"
1969-04-18,9872,1969,"Apr",18,"Fri"
1969-04-19,8994,1969,"Apr",19,"Sat"
1969-04-20,7928,1969,"Apr",20,"Sun"
1969-04-21,9610,1969,"Apr",21,"Mon"
1969-04-22,10226,1969,"Apr",22,"Tue"
1969-04-23,9868,1969,"Apr",23,"Wed"
1969-04-24,9472,1969,"Apr",24,"Thu"
1969-04-25,9646,1969,"Apr",25,"Fri"
1969-04-26,8922,1969,"Apr",26,"Sat"
1969-04-27,7966,1969,"Apr",27,"Sun"
1969-04-28,9518,1969,"Apr",28,"Mon"
1969-04-29,9700,1969,"Apr",29,"Tue"
1969-04-30,9138,1969,"Apr",30,"Wed"
1969-05-01,9258,1969,"May",1,"Thu"
1969-05-02,9736,1969,"May",2,"Fri"
1969-05-03,8768,1969,"May",3,"Sat"
1969-05-04,8094,1969,"May",4,"Sun"
1969-05-05,9930,1969,"May",5,"Mon"
1969-05-06,9964,1969,"May",6,"Tue"
1969-05-07,9626,1969,"May",7,"Wed"
1969-05-08,9484,1969,"May",8,"Thu"
1969-05-09,9362,1969,"May",9,"Fri"
1969-05-10,8516,1969,"May",10,"Sat"
1969-05-11,8122,1969,"May",11,"Sun"
1969-05-12,9306,1969,"May",12,"Mon"
1969-05-13,9862,1969,"May",13,"Tue"
1969-05-14,9184,1969,"May",14,"Wed"
1969-05-15,9524,1969,"May",15,"Thu"
1969-05-16,9824,1969,"May",16,"Fri"
1969-05-17,8946,1969,"May",17,"Sat"
1969-05-18,8028,1969,"May",18,"Sun"
1969-05-19,9494,1969,"May",19,"Mon"
1969-05-20,10388,1969,"May",20,"Tue"
1969-05-21,9766,1969,"May",21,"Wed"
1969-05-22,9406,1969,"May",22,"Thu"
1969-05-23,9584,1969,"May",23,"Fri"
1969-05-24,8558,1969,"May",24,"Sat"
1969-05-25,8226,1969,"May",25,"Sun"
1969-05-26,9840,1969,"May",26,"Mon"
1969-05-27,10352,1969,"May",27,"Tue"
1969-05-28,9938,1969,"May",28,"Wed"
1969-05-29,10190,1969,"May",29,"Thu"
1969-05-30,9154,1969,"May",30,"Fri"
1969-05-31,8640,1969,"May",31,"Sat"
1969-06-01,8426,1969,"Jun",1,"Sun"
1969-06-02,9862,1969,"Jun",2,"Mon"
1969-06-03,10158,1969,"Jun",3,"Tue"
1969-06-04,9838,1969,"Jun",4,"Wed"
1969-06-05,9588,1969,"Jun",5,"Thu"
1969-06-06,10006,1969,"Jun",6,"Fri"
1969-06-07,8814,1969,"Jun",7,"Sat"
1969-06-08,8226,1969,"Jun",8,"Sun"
1969-06-09,9738,1969,"Jun",9,"Mon"
1969-06-10,10320,1969,"Jun",10,"Tue"
1969-06-11,9950,1969,"Jun",11,"Wed"
1969-06-12,10220,1969,"Jun",12,"Thu"
1969-06-13,9852,1969,"Jun",13,"Fri"
1969-06-14,8920,1969,"Jun",14,"Sat"
1969-06-15,8402,1969,"Jun",15,"Sun"
1969-06-16,9744,1969,"Jun",16,"Mon"
1969-06-17,10294,1969,"Jun",17,"Tue"
1969-06-18,10220,1969,"Jun",18,"Wed"
1969-06-19,9756,1969,"Jun",19,"Thu"
1969-06-20,10424,1969,"Jun",20,"Fri"
1969-06-21,9034,1969,"Jun",21,"Sat"
1969-06-22,8612,1969,"Jun",22,"Sun"
1969-06-23,9880,1969,"Jun",23,"Mon"
1969-06-24,10624,1969,"Jun",24,"Tue"
1969-06-25,10466,1969,"Jun",25,"Wed"
1969-06-26,10344,1969,"Jun",26,"Thu"
1969-06-27,10776,1969,"Jun",27,"Fri"
1969-06-28,9566,1969,"Jun",28,"Sat"
1969-06-29,8800,1969,"Jun",29,"Sun"
1969-06-30,10588,1969,"Jun",30,"Mon"
1969-07-01,11206,1969,"Jul",1,"Tue"
1969-07-02,10758,1969,"Jul",2,"Wed"
1969-07-03,10562,1969,"Jul",3,"Thu"
1969-07-04,9168,1969,"Jul",4,"Fri"
1969-07-05,9248,1969,"Jul",5,"Sat"
1969-07-06,8860,1969,"Jul",6,"Sun"
1969-07-07,10634,1969,"Jul",7,"Mon"
1969-07-08,10842,1969,"Jul",8,"Tue"
1969-07-09,10576,1969,"Jul",9,"Wed"
1969-07-10,10562,1969,"Jul",10,"Thu"
1969-07-11,10686,1969,"Jul",11,"Fri"
1969-07-12,9472,1969,"Jul",12,"Sat"
1969-07-13,8978,1969,"Jul",13,"Sun"
1969-07-14,10242,1969,"Jul",14,"Mon"
1969-07-15,11296,1969,"Jul",15,"Tue"
1969-07-16,10698,1969,"Jul",16,"Wed"
1969-07-17,10668,1969,"Jul",17,"Thu"
1969-07-18,10632,1969,"Jul",18,"Fri"
1969-07-19,9674,1969,"Jul",19,"Sat"
1969-07-20,8940,1969,"Jul",20,"Sun"
1969-07-21,10196,1969,"Jul",21,"Mon"
1969-07-22,11040,1969,"Jul",22,"Tue"
1969-07-23,10468,1969,"Jul",23,"Wed"
1969-07-24,10430,1969,"Jul",24,"Thu"
1969-07-25,10688,1969,"Jul",25,"Fri"
1969-07-26,9786,1969,"Jul",26,"Sat"
1969-07-27,9408,1969,"Jul",27,"Sun"
1969-07-28,10548,1969,"Jul",28,"Mon"
1969-07-29,11102,1969,"Jul",29,"Tue"
1969-07-30,10634,1969,"Jul",30,"Wed"
1969-07-31,10346,1969,"Jul",31,"Thu"
1969-08-01,10730,1969,"Aug",1,"Fri"
1969-08-02,9982,1969,"Aug",2,"Sat"
1969-08-03,9082,1969,"Aug",3,"Sun"
1969-08-04,10450,1969,"Aug",4,"Mon"
1969-08-05,10944,1969,"Aug",5,"Tue"
1969-08-06,10852,1969,"Aug",6,"Wed"
1969-08-07,10382,1969,"Aug",7,"Thu"
1969-08-08,11302,1969,"Aug",8,"Fri"
1969-08-09,10092,1969,"Aug",9,"Sat"
1969-08-10,9106,1969,"Aug",10,"Sun"
1969-08-11,10706,1969,"Aug",11,"Mon"
1969-08-12,11138,1969,"Aug",12,"Tue"
1969-08-13,10802,1969,"Aug",13,"Wed"
1969-08-14,10726,1969,"Aug",14,"Thu"
1969-08-15,10910,1969,"Aug",15,"Fri"
1969-08-16,9772,1969,"Aug",16,"Sat"
1969-08-17,9124,1969,"Aug",17,"Sun"
1969-08-18,10650,1969,"Aug",18,"Mon"
1969-08-19,11410,1969,"Aug",19,"Tue"
1969-08-20,10918,1969,"Aug",20,"Wed"
1969-08-21,10184,1969,"Aug",21,"Thu"
1969-08-22,10586,1969,"Aug",22,"Fri"
1969-08-23,9660,1969,"Aug",23,"Sat"
1969-08-24,9084,1969,"Aug",24,"Sun"
1969-08-25,10586,1969,"Aug",25,"Mon"
1969-08-26,11082,1969,"Aug",26,"Tue"
1969-08-27,10638,1969,"Aug",27,"Wed"
1969-08-28,10616,1969,"Aug",28,"Thu"
1969-08-29,10714,1969,"Aug",29,"Fri"
1969-08-30,9708,1969,"Aug",30,"Sat"
1969-08-31,8986,1969,"Aug",31,"Sun"
1969-09-01,9012,1969,"Sep",1,"Mon"
1969-09-02,10686,1969,"Sep",2,"Tue"
1969-09-03,11044,1969,"Sep",3,"Wed"
1969-09-04,10506,1969,"Sep",4,"Thu"
1969-09-05,10610,1969,"Sep",5,"Fri"
1969-09-06,9710,1969,"Sep",6,"Sat"
1969-09-07,9196,1969,"Sep",7,"Sun"
1969-09-08,10508,1969,"Sep",8,"Mon"
1969-09-09,10598,1969,"Sep",9,"Tue"
1969-09-10,10450,1969,"Sep",10,"Wed"
1969-09-11,10408,1969,"Sep",11,"Thu"
1969-09-12,10752,1969,"Sep",12,"Fri"
1969-09-13,9534,1969,"Sep",13,"Sat"
1969-09-14,9204,1969,"Sep",14,"Sun"
1969-09-15,10728,1969,"Sep",15,"Mon"
1969-09-16,11142,1969,"Sep",16,"Tue"
1969-09-17,10864,1969,"Sep",17,"Wed"
1969-09-18,10876,1969,"Sep",18,"Thu"
1969-09-19,10832,1969,"Sep",19,"Fri"
1969-09-20,10040,1969,"Sep",20,"Sat"
1969-09-21,9368,1969,"Sep",21,"Sun"
1969-09-22,10970,1969,"Sep",22,"Mon"
1969-09-23,11300,1969,"Sep",23,"Tue"
1969-09-24,10898,1969,"Sep",24,"Wed"
1969-09-25,10840,1969,"Sep",25,"Thu"
1969-09-26,11154,1969,"Sep",26,"Fri"
1969-09-27,10170,1969,"Sep",27,"Sat"
1969-09-28,9198,1969,"Sep",28,"Sun"
1969-09-29,10708,1969,"Sep",29,"Mon"
1969-09-30,11138,1969,"Sep",30,"Tue"
1969-10-01,10978,1969,"Oct",1,"Wed"
1969-10-02,10656,1969,"Oct",2,"Thu"
1969-10-03,10922,1969,"Oct",3,"Fri"
1969-10-04,9710,1969,"Oct",4,"Sat"
1969-10-05,8972,1969,"Oct",5,"Sun"
1969-10-06,10318,1969,"Oct",6,"Mon"
1969-10-07,10654,1969,"Oct",7,"Tue"
1969-10-08,10510,1969,"Oct",8,"Wed"
1969-10-09,10710,1969,"Oct",9,"Thu"
1969-10-10,10748,1969,"Oct",10,"Fri"
1969-10-11,9566,1969,"Oct",11,"Sat"
1969-10-12,9014,1969,"Oct",12,"Sun"
1969-10-13,9996,1969,"Oct",13,"Mon"
1969-10-14,10618,1969,"Oct",14,"Tue"
1969-10-15,10120,1969,"Oct",15,"Wed"
1969-10-16,9918,1969,"Oct",16,"Thu"
1969-10-17,10338,1969,"Oct",17,"Fri"
1969-10-18,9172,1969,"Oct",18,"Sat"
1969-10-19,8586,1969,"Oct",19,"Sun"
1969-10-20,10148,1969,"Oct",20,"Mon"
1969-10-21,10674,1969,"Oct",21,"Tue"
1969-10-22,10300,1969,"Oct",22,"Wed"
1969-10-23,9814,1969,"Oct",23,"Thu"
1969-10-24,10010,1969,"Oct",24,"Fri"
1969-10-25,9258,1969,"Oct",25,"Sat"
1969-10-26,8864,1969,"Oct",26,"Sun"
1969-10-27,10372,1969,"Oct",27,"Mon"
1969-10-28,10640,1969,"Oct",28,"Tue"
1969-10-29,10104,1969,"Oct",29,"Wed"
1969-10-30,10110,1969,"Oct",30,"Thu"
1969-10-31,10144,1969,"Oct",31,"Fri"
1969-11-01,9342,1969,"Nov",1,"Sat"
1969-11-02,8904,1969,"Nov",2,"Sun"
1969-11-03,10338,1969,"Nov",3,"Mon"
1969-11-04,10772,1969,"Nov",4,"Tue"
1969-11-05,10020,1969,"Nov",5,"Wed"
1969-11-06,10240,1969,"Nov",6,"Thu"
1969-11-07,10660,1969,"Nov",7,"Fri"
1969-11-08,9678,1969,"Nov",8,"Sat"
1969-11-09,9022,1969,"Nov",9,"Sun"
1969-11-10,10342,1969,"Nov",10,"Mon"
1969-11-11,10878,1969,"Nov",11,"Tue"
1969-11-12,10324,1969,"Nov",12,"Wed"
1969-11-13,10100,1969,"Nov",13,"Thu"
1969-11-14,10396,1969,"Nov",14,"Fri"
1969-11-15,9298,1969,"Nov",15,"Sat"
1969-11-16,8660,1969,"Nov",16,"Sun"
1969-11-17,10286,1969,"Nov",17,"Mon"
1969-11-18,10698,1969,"Nov",18,"Tue"
1969-11-19,10260,1969,"Nov",19,"Wed"
1969-11-20,10258,1969,"Nov",20,"Thu"
1969-11-21,10168,1969,"Nov",21,"Fri"
1969-11-22,9438,1969,"Nov",22,"Sat"
1969-11-23,8866,1969,"Nov",23,"Sun"
1969-11-24,10462,1969,"Nov",24,"Mon"
1969-11-25,10864,1969,"Nov",25,"Tue"
1969-11-26,10074,1969,"Nov",26,"Wed"
1969-11-27,8248,1969,"Nov",27,"Thu"
1969-11-28,9948,1969,"Nov",28,"Fri"
1969-11-29,9332,1969,"Nov",29,"Sat"
1969-11-30,8966,1969,"Nov",30,"Sun"
1969-12-01,10764,1969,"Dec",1,"Mon"
1969-12-02,10736,1969,"Dec",2,"Tue"
1969-12-03,10300,1969,"Dec",3,"Wed"
1969-12-04,10254,1969,"Dec",4,"Thu"
1969-12-05,10428,1969,"Dec",5,"Fri"
1969-12-06,9420,1969,"Dec",6,"Sat"
1969-12-07,8740,1969,"Dec",7,"Sun"
1969-12-08,10646,1969,"Dec",8,"Mon"
1969-12-09,10730,1969,"Dec",9,"Tue"
1969-12-10,10348,1969,"Dec",10,"Wed"
1969-12-11,10300,1969,"Dec",11,"Thu"
1969-12-12,10758,1969,"Dec",12,"Fri"
1969-12-13,9602,1969,"Dec",13,"Sat"
1969-12-14,8762,1969,"Dec",14,"Sun"
1969-12-15,10898,1969,"Dec",15,"Mon"
1969-12-16,11022,1969,"Dec",16,"Tue"
1969-12-17,10646,1969,"Dec",17,"Wed"
1969-12-18,10426,1969,"Dec",18,"Thu"
1969-12-19,10912,1969,"Dec",19,"Fri"
1969-12-20,9822,1969,"Dec",20,"Sat"
1969-12-21,8864,1969,"Dec",21,"Sun"
1969-12-22,10492,1969,"Dec",22,"Mon"
1969-12-23,9856,1969,"Dec",23,"Tue"
1969-12-24,8978,1969,"Dec",24,"Wed"
1969-12-25,8284,1969,"Dec",25,"Thu"
1969-12-26,9910,1969,"Dec",26,"Fri"
1969-12-27,9304,1969,"Dec",27,"Sat"
1969-12-28,9004,1969,"Dec",28,"Sun"
1969-12-29,10980,1969,"Dec",29,"Mon"
1969-12-30,12232,1969,"Dec",30,"Tue"
1969-12-31,11122,1969,"Dec",31,"Wed"
1970-01-01,8372,1970,"Jan",1,"Thu"
1970-01-02,9234,1970,"Jan",2,"Fri"
1970-01-03,9162,1970,"Jan",3,"Sat"
1970-01-04,8620,1970,"Jan",4,"Sun"
1970-01-05,9852,1970,"Jan",5,"Mon"
1970-01-06,10202,1970,"Jan",6,"Tue"
1970-01-07,10020,1970,"Jan",7,"Wed"
1970-01-08,9756,1970,"Jan",8,"Thu"
1970-01-09,9844,1970,"Jan",9,"Fri"
1970-01-10,9270,1970,"Jan",10,"Sat"
1970-01-11,9158,1970,"Jan",11,"Sun"
1970-01-12,10474,1970,"Jan",12,"Mon"
1970-01-13,10580,1970,"Jan",13,"Tue"
1970-01-14,10244,1970,"Jan",14,"Wed"
1970-01-15,9946,1970,"Jan",15,"Thu"
1970-01-16,10276,1970,"Jan",16,"Fri"
1970-01-17,9598,1970,"Jan",17,"Sat"
1970-01-18,8948,1970,"Jan",18,"Sun"
1970-01-19,10124,1970,"Jan",19,"Mon"
1970-01-20,10524,1970,"Jan",20,"Tue"
1970-01-21,10096,1970,"Jan",21,"Wed"
1970-01-22,9686,1970,"Jan",22,"Thu"
1970-01-23,10202,1970,"Jan",23,"Fri"
1970-01-24,9470,1970,"Jan",24,"Sat"
1970-01-25,8792,1970,"Jan",25,"Sun"
1970-01-26,10160,1970,"Jan",26,"Mon"
1970-01-27,10602,1970,"Jan",27,"Tue"
1970-01-28,10188,1970,"Jan",28,"Wed"
1970-01-29,9816,1970,"Jan",29,"Thu"
1970-01-30,9912,1970,"Jan",30,"Fri"
1970-01-31,9012,1970,"Jan",31,"Sat"
1970-02-01,9042,1970,"Feb",1,"Sun"
1970-02-02,10542,1970,"Feb",2,"Mon"
1970-02-03,10712,1970,"Feb",3,"Tue"
1970-02-04,10086,1970,"Feb",4,"Wed"
1970-02-05,9766,1970,"Feb",5,"Thu"
1970-02-06,10220,1970,"Feb",6,"Fri"
1970-02-07,9562,1970,"Feb",7,"Sat"
1970-02-08,9016,1970,"Feb",8,"Sun"
1970-02-09,10226,1970,"Feb",9,"Mon"
1970-02-10,10620,1970,"Feb",10,"Tue"
1970-02-11,10288,1970,"Feb",11,"Wed"
1970-02-12,10058,1970,"Feb",12,"Thu"
1970-02-13,10110,1970,"Feb",13,"Fri"
1970-02-14,9558,1970,"Feb",14,"Sat"
1970-02-15,9136,1970,"Feb",15,"Sun"
1970-02-16,10260,1970,"Feb",16,"Mon"
1970-02-17,10676,1970,"Feb",17,"Tue"
1970-02-18,10472,1970,"Feb",18,"Wed"
1970-02-19,10072,1970,"Feb",19,"Thu"
1970-02-20,10544,1970,"Feb",20,"Fri"
1970-02-21,9314,1970,"Feb",21,"Sat"
1970-02-22,8986,1970,"Feb",22,"Sun"
1970-02-23,10168,1970,"Feb",23,"Mon"
1970-02-24,10782,1970,"Feb",24,"Tue"
1970-02-25,10574,1970,"Feb",25,"Wed"
1970-02-26,10408,1970,"Feb",26,"Thu"
1970-02-27,10264,1970,"Feb",27,"Fri"
1970-02-28,9720,1970,"Feb",28,"Sat"
1970-03-01,8964,1970,"Mar",1,"Sun"
1970-03-02,10202,1970,"Mar",2,"Mon"
1970-03-03,11320,1970,"Mar",3,"Tue"
1970-03-04,10600,1970,"Mar",4,"Wed"
1970-03-05,10258,1970,"Mar",5,"Thu"
1970-03-06,10504,1970,"Mar",6,"Fri"
1970-03-07,9460,1970,"Mar",7,"Sat"
1970-03-08,8926,1970,"Mar",8,"Sun"
1970-03-09,10340,1970,"Mar",9,"Mon"
1970-03-10,10744,1970,"Mar",10,"Tue"
1970-03-11,10410,1970,"Mar",11,"Wed"
1970-03-12,10180,1970,"Mar",12,"Thu"
1970-03-13,10140,1970,"Mar",13,"Fri"
1970-03-14,9450,1970,"Mar",14,"Sat"
1970-03-15,8596,1970,"Mar",15,"Sun"
1970-03-16,10058,1970,"Mar",16,"Mon"
1970-03-17,10694,1970,"Mar",17,"Tue"
1970-03-18,10278,1970,"Mar",18,"Wed"
1970-03-19,10100,1970,"Mar",19,"Thu"
1970-03-20,10206,1970,"Mar",20,"Fri"
1970-03-21,9390,1970,"Mar",21,"Sat"
1970-03-22,8784,1970,"Mar",22,"Sun"
1970-03-23,10334,1970,"Mar",23,"Mon"
1970-03-24,10556,1970,"Mar",24,"Tue"
1970-03-25,10148,1970,"Mar",25,"Wed"
1970-03-26,9886,1970,"Mar",26,"Thu"
1970-03-27,9792,1970,"Mar",27,"Fri"
1970-03-28,8764,1970,"Mar",28,"Sat"
1970-03-29,8314,1970,"Mar",29,"Sun"
1970-03-30,9766,1970,"Mar",30,"Mon"
1970-03-31,10172,1970,"Mar",31,"Tue"
1970-04-01,10002,1970,"Apr",1,"Wed"
1970-04-02,10134,1970,"Apr",2,"Thu"
1970-04-03,10116,1970,"Apr",3,"Fri"
1970-04-04,9234,1970,"Apr",4,"Sat"
1970-04-05,8522,1970,"Apr",5,"Sun"
1970-04-06,10052,1970,"Apr",6,"Mon"
1970-04-07,10474,1970,"Apr",7,"Tue"
1970-04-08,9950,1970,"Apr",8,"Wed"
1970-04-09,9898,1970,"Apr",9,"Thu"
1970-04-10,10072,1970,"Apr",10,"Fri"
1970-04-11,9040,1970,"Apr",11,"Sat"
1970-04-12,8214,1970,"Apr",12,"Sun"
1970-04-13,9470,1970,"Apr",13,"Mon"
1970-04-14,10100,1970,"Apr",14,"Tue"
1970-04-15,9824,1970,"Apr",15,"Wed"
1970-04-16,9668,1970,"Apr",16,"Thu"
1970-04-17,9706,1970,"Apr",17,"Fri"
1970-04-18,8786,1970,"Apr",18,"Sat"
1970-04-19,8174,1970,"Apr",19,"Sun"
1970-04-20,9574,1970,"Apr",20,"Mon"
1970-04-21,10098,1970,"Apr",21,"Tue"
1970-04-22,9714,1970,"Apr",22,"Wed"
1970-04-23,9518,1970,"Apr",23,"Thu"
1970-04-24,9860,1970,"Apr",24,"Fri"
1970-04-25,8824,1970,"Apr",25,"Sat"
1970-04-26,8278,1970,"Apr",26,"Sun"
1970-04-27,9910,1970,"Apr",27,"Mon"
1970-04-28,10300,1970,"Apr",28,"Tue"
1970-04-29,9728,1970,"Apr",29,"Wed"
1970-04-30,9684,1970,"Apr",30,"Thu"
1970-05-01,9990,1970,"May",1,"Fri"
1970-05-02,8740,1970,"May",2,"Sat"
1970-05-03,8036,1970,"May",3,"Sun"
1970-05-04,9752,1970,"May",4,"Mon"
1970-05-05,10136,1970,"May",5,"Tue"
1970-05-06,9712,1970,"May",6,"Wed"
1970-05-07,9632,1970,"May",7,"Thu"
1970-05-08,9836,1970,"May",8,"Fri"
1970-05-09,8996,1970,"May",9,"Sat"
1970-05-10,8428,1970,"May",10,"Sun"
1970-05-11,10080,1970,"May",11,"Mon"
1970-05-12,10436,1970,"May",12,"Tue"
1970-05-13,10026,1970,"May",13,"Wed"
1970-05-14,9812,1970,"May",14,"Thu"
1970-05-15,10214,1970,"May",15,"Fri"
1970-05-16,8946,1970,"May",16,"Sat"
1970-05-17,8030,1970,"May",17,"Sun"
1970-05-18,10022,1970,"May",18,"Mon"
1970-05-19,10436,1970,"May",19,"Tue"
1970-05-20,10044,1970,"May",20,"Wed"
1970-05-21,10244,1970,"May",21,"Thu"
1970-05-22,10362,1970,"May",22,"Fri"
1970-05-23,9424,1970,"May",23,"Sat"
1970-05-24,8718,1970,"May",24,"Sun"
1970-05-25,10076,1970,"May",25,"Mon"
1970-05-26,10598,1970,"May",26,"Tue"
1970-05-27,10034,1970,"May",27,"Wed"
1970-05-28,10040,1970,"May",28,"Thu"
1970-05-29,9984,1970,"May",29,"Fri"
1970-05-30,8868,1970,"May",30,"Sat"
1970-05-31,8388,1970,"May",31,"Sun"
1970-06-01,10124,1970,"Jun",1,"Mon"
1970-06-02,10882,1970,"Jun",2,"Tue"
1970-06-03,10270,1970,"Jun",3,"Wed"
1970-06-04,9964,1970,"Jun",4,"Thu"
1970-06-05,10060,1970,"Jun",5,"Fri"
1970-06-06,9516,1970,"Jun",6,"Sat"
1970-06-07,8500,1970,"Jun",7,"Sun"
1970-06-08,9946,1970,"Jun",8,"Mon"
1970-06-09,10764,1970,"Jun",9,"Tue"
1970-06-10,10330,1970,"Jun",10,"Wed"
1970-06-11,10518,1970,"Jun",11,"Thu"
1970-06-12,10774,1970,"Jun",12,"Fri"
1970-06-13,9212,1970,"Jun",13,"Sat"
1970-06-14,8614,1970,"Jun",14,"Sun"
1970-06-15,10216,1970,"Jun",15,"Mon"
1970-06-16,10878,1970,"Jun",16,"Tue"
1970-06-17,10610,1970,"Jun",17,"Wed"
1970-06-18,10520,1970,"Jun",18,"Thu"
1970-06-19,10390,1970,"Jun",19,"Fri"
1970-06-20,9600,1970,"Jun",20,"Sat"
1970-06-21,8568,1970,"Jun",21,"Sun"
1970-06-22,10352,1970,"Jun",22,"Mon"
1970-06-23,10678,1970,"Jun",23,"Tue"
1970-06-24,10644,1970,"Jun",24,"Wed"
1970-06-25,10326,1970,"Jun",25,"Thu"
