"title","artist","popularity","album_name","album_release_date","genre","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"Forrest Gump","Frank Ocean",65,"channel ORANGE","2012-01-01","pop",70.1,41.7,-7.818,"0",3.29,8.88,0.0648,37.5,18.6,95.003,194840
"Godspeed","Frank Ocean",66,"Blonde","2016-08-20","r&b",42.1,9.52,-12.561,"1",4.79,93.1,0.0201,12.6,7.73,109.698,177922
"Good Guy","Frank Ocean",64,"Blonde","2016-08-20","r&b",51.3,13.1,-12.787,"1",46.7,98.3,0.414,12,81.4,105.808,66786
"Hero","Frank Ocean",51,"Three Artists. One Song","2014-03-10","r&b",66.4,67.4,-8.307,"0",3.02,1.82,20.3,7.39,23.4,104.002,165468
"In My Room","Frank Ocean",79,"In My Room","2019-11-02","r&b",86.1,64.7,-7.425,"1",6.75,59.4,66.1,11.4,67,158.037,133680
"Ivy","Frank Ocean",77,"Blonde","2016-08-20","pop",56.7,38.8,-9.579,"0",3.84,78.2,0.0309,24.8,45.2,116.362,249191
"Lens","Frank Ocean",61,"Lens","2017-04-23","r&b",68.1,33.3,-8.582,"1",9.74,58.8,0,8.6,56.4,118.05,227655
"Lost","Frank Ocean",68,"channel ORANGE (Explicit Version)","2012-01-01","r&b",91.3,60.3,-4.892,"1",22.6,2.72,0.0503,16.7,49.7,123.061,234093
"Monks","Frank Ocean",57,"channel ORANGE","2012-01-01","r&b",74.7,75.8,-4.743,"0",17.9,5.21,0,21.4,60.1,102.02,200240
"Moon River","Frank Ocean",70,"Moon River","2018-02-14","r&b",24,11.6,-13.216,"1",3.29,87.7,0.092,10,9.37,77.349,188324
"Nights","Frank Ocean",78,"Blonde","2016-08-20","r&b",46.6,54.8,-9.362,"0",11.8,42,0.000101,11.3,42.3,89.815,307151
"Nikes","Frank Ocean",72,"Blonde","2016-08-20","r&b",54.3,39.4,-9.637,"1",8.64,69.5,0.0239,10.8,11.8,137.811,314075
"Novacane","Frank Ocean",71,"Novacane","2011-01-01","r&b",76.2,50.8,-9.112,"1",9.19,5.84,0.126,16,37,93.51,302347
"Pilot Jones","Frank Ocean",55,"channel ORANGE (Explicit Version)","2012-01-01","r&b",39.4,43.3,-13.473,"1",37.4,48.5,0.00781,81.7,39.4,118.988,184080
"Pink + White","Frank Ocean",77,"Blonde","2016-08-20","r&b",54.4,55.2,-7.45,"1",9.91,67,0.00457,41.5,55.4,159.738,184516
"Pink Matter","Frank Ocean",65,"channel ORANGE","2012-01-01","r&b",39.2,23.3,-11.012,"0",5.87,95.1,0.0322,10.6,49.4,176.569,268813
"Provider","Frank Ocean",67,"Provider","2017-08-27","r&b",65.4,32.5,-11.925,"1",28.2,74,0.00214,15.2,39,139.886,243238
"Self Control","Frank Ocean",74,"Blonde","2016-08-20","r&b",57.2,20.9,-10.413,"1",3.13,76.5,0,35.6,44.6,80.069,249668
"Solo","Frank Ocean",69,"Blonde","2016-08-20","r&b",44.4,28.7,-10.631,"0",3.75,84.9,0.000282,16.1,24.6,124.027,257380
"Sweet Life","Frank Ocean",58,"channel ORANGE (Explicit Version)","2012-01-01","r&b",47.9,55.8,-6.074,"1",17.9,22.7,0,8.08,80,83.465,262680
"Swim Good","Frank Ocean",65,"Swim Good","2011-01-01","r&b",65.3,66.8,-8.183,"1",8.81,0.116,0.269,7.31,71.1,160.048,257187
"Thinkin Bout You","Frank Ocean",75,"channel ORANGE","2012-01-01","r&b",72.1,33.9,-11.195,"1",5.32,40.9,0.153,9.73,20,129.83,200747
"White Ferrari","Frank Ocean",71,"Blonde","2016-08-20","r&b",44.4,9.24,-15.605,"1",3.66,78.4,0,30.4,21.9,108.917,248808
"Don't Stop The Rock","Freestyle",39,"Don't Stop The Rock","2007-08-14","pop",95.1,73.6,-8.286,"1",5.99,9.8,0.0217,30.7,55.8,121.075,330693
"It's Automatic","Freestyle",34,"It's Automatic","2013-11-28","latin",78,76.6,-7.752,"1",3.46,0.194,0.334,7.75,75,124.884,351318
"The Party Has Begun","Freestyle",28,"Don't Stop The Rock","2007-08-14","latin",86.7,67.8,-9.06,"1",7.77,2.53,2.75,27.5,54.7,127.725,393107
"Better Than Me","Hinder",61,"Extreme Behavior","2005-01-01","rock",44.9,68.2,-5.295,"0",2.9,20.5,0,17.5,25.4,139.924,223533
"Get Stoned","Hinder",60,"Extreme Behavior","2005","rock",44.8,93.3,-4.082,"0",4.21,0.0417,0.0454,21.9,50.5,75.991,218307
"Lips Of An Angel","Hinder",71,"Extreme Behavior","2005-01-01","rock",47.6,73.6,-5.38,"1",3.43,2.17,0.000108,20.3,25.1,129.084,261853
"Use Me","Hinder",45,"Take It To The Limit","2008-01-01","rock",49.3,97.9,-3.08,"1",7.22,0.0292,0.124,37.8,43.5,134.055,229733
"Without You","Hinder",56,"Take It To The Limit","2008-01-01","rock",41,81.6,-3.83,"1",3.33,2.92,0.00201,12.9,28.8,136.014,232267
"Beat It","Honeywagon",31,"Songs From Neverland","2010-08-24","r&b",69.3,41.2,-11.337,"0",2.9,11.5,0,8.95,53.9,138.024,214227
"Billie Jean","Honeywagon",34,"Songs From Neverland","2010-08-24","r&b",74.3,42.2,-11.887,"0",3.31,54.1,0.000226,14.9,69,111.933,285920
"The Way You Make Me Feel","Honeywagon",30,"Songs From Neverland","2010-08-24","r&b",66.7,57.4,-9.847,"1",3.15,20.5,0,12.2,88.2,139.911,193093
"House and the Rising Son","House Of Pain",36,"House of Pain (Fine Malt Lyrics)","1992-07-21","rap",90.2,52.4,-8.394,"1",10.9,0.177,0.00133,8.54,55.3,92.986,219200
"Jump Around","House Of Pain",74,"House of Pain (Fine Malt Lyrics)","1992-07-21","rap",85.4,71,-6.32,"0",7.93,1.13,0.00872,16.6,81.8,106.894,214947
"Put Your Head Out","House Of Pain",40,"House of Pain (Fine Malt Lyrics)","1992-07-21","rap",82.7,67.6,-9.735,"1",26.2,2.57,0.00048,7.9,79.2,97.835,182160
"Shamrocks and Shenanigans","House Of Pain",43,"House of Pain (Fine Malt Lyrics)","1992-07-21","rap",90.4,60.6,-6.122,"1",28.6,29.6,0.0197,23.6,21.1,100.195,219107
"Top O' the Morning to Ya","House Of Pain",48,"House of Pain (Fine Malt Lyrics)","1992-07-21","rap",82.7,61.9,-10.173,"0",11,0.365,1.1,33.7,73,111.083,216320
"Apparently","J. Cole",69,"2014 Forest Hills Drive","2014-12-09","r&b",80.1,54.3,-9.236,"1",9.1,56.4,0,11.6,53.4,133.982,293040
"Deja Vu","J. Cole",70,"4 Your Eyez Only","2016-12-09","rap",65.7,42.1,-11.378,"1",41.2,35.2,0.0218,18.7,18.1,174.063,264747
"Let Nas Down","J. Cole",56,"Born Sinner","2013-06-14","r&b",45.8,74,-5.65,"0",24.5,2.56,0,29.6,37,79.255,277200
"MIDDLE CHILD","J. Cole",86,"MIDDLE CHILD","2019-01-23","rap",83.7,36.4,-11.713,"1",27.6,14.9,0,27.1,46.3,123.984,213594
"No Role Modelz","J. Cole",82,"2014 Forest Hills Drive","2014-12-09","rap",69.6,52.1,-8.465,"0",33.2,30.2,0,5.65,45.8,100,292987
"St. Tropez","J. Cole",61,"2014 Forest Hills Drive","2014-12-09","r&b",56.1,54.1,-9.818,"0",7.11,5.4,3.71,6.27,32.4,84.241,257920
"Wet Dreamz","J. Cole",78,"2014 Forest Hills Drive","2014-12-09","r&b",50.4,70.5,-8.205,"0",36.4,7.52,0,12.8,58.4,175.483,239320
"Bubbly","Jazzinuf",40,"Audio Bartending","2018-04-01","latin",76.9,52.2,-7.065,"0",7.77,10.2,80.3,37.9,73.7,173.993,209763
"Caffè Mocha","Jazzinuf",44,"Dazzle","2018-11-16","latin",87.9,54.4,-5.568,"1",20.3,21.5,73.1,15.7,78.3,93.997,89361
"Coconut Airline","Jazzinuf",42,"Audio Bartending","2018-04-01","latin",64.3,82.7,-9.572,"0",18.5,5.9,94.1,37,89.1,83.032,163396
"Moon and Tonic","Jazzinuf",44,"Audio Bartending","2018-04-01","latin",65.3,68.6,-10.433,"1",27.4,25.5,77.4,11.8,94.6,85.045,121940
"Moonlight Bossa","Jazzinuf",53,"Lapis Lazuli","2019-10-09","rap",53.2,94.2,-5.425,"0",9.65,16.6,18.2,21.8,59.9,179.825,141333
"Soul Mates","Jazzinuf",52,"Soul Mates","2020-01-01","rap",51.7,50.9,-9.917,"1",13.7,40.7,31.1,25.1,37,74.98,96343
"Don't Forget Me","Jean Juan",40,"Don't Forget Me","2019-11-08","edm",73.2,76.2,-7.234,"0",3.69,13.5,0.859,14,53.8,107.014,165419
"Little Black Dress","Jean Juan",33,"Little Black Dress","2019-07-11","edm",57.9,77.9,-11.212,"1",3.95,0.213,77.4,15.9,9.61,119.999,276000
"Only Me","Jean Juan",39,"Only Me","2019-06-13","edm",64.2,84.5,-6.894,"0",3.41,12.4,0.0125,7.52,47.1,123.975,168856
"Reflections","Jean Juan",42,"Reflections","2019-10-04","edm",66.2,71.6,-8.108,"0",4.08,0.881,0.0916,15.1,14.1,120.955,193747
"Reflections (UOAK Remix)","Jean Juan",30,"Reflections (UOAK Remix)","2020-01-17","edm",59.9,69.2,-6.347,"1",3.29,24.5,0.0421,33.7,16.1,122.001,243934
"A.D.H.D","Kendrick Lamar",15,"Section.80","2011-07-02","rap",60.9,79.9,-6.883,"1",24,33,0,10.8,58.2,157.74,215509
"All The Stars (with SZA)","Kendrick Lamar",79,"Black Panther The Album Music From And Inspired By","2018-02-09","r&b",69.8,63.3,-4.946,"1",5.97,6.05,0.0194,9.26,55.2,96.924,232187
"Backseat Freestyle","Kendrick Lamar",67,"good kid, m.A.A.d city (Deluxe)","2012","rap",54.6,65.1,-7.601,"1",30,0.0739,0,23.5,64.6,77.878,212653
"Bitch, Don’t Kill My Vibe","Kendrick Lamar",64,"good kid, m.A.A.d city","2012","r&b",58.7,69.8,-8.948,"1",9.43,1.52,0,44.2,9.85,133.954,310720
"DNA.","Kendrick Lamar",79,"DAMN.","2017-04-14","rap",63.8,52.3,-6.664,"1",35.7,0.454,0,8.42,42.2,139.913,185947
"ELEMENT.","Kendrick Lamar",72,"DAMN.","2017-04-14","rap",74.8,70.5,-4.547,"0",48.5,20.4,0,24.6,48.3,189.891,208733
"HUMBLE.","Kendrick Lamar",84,"DAMN.","2017-04-14","pop",90.8,62.1,-6.638,"0",10.2,0.0282,0.00539,9.58,42.1,150.011,177000
"King Kunta","Kendrick Lamar",10,"To Pimp A Butterfly","2015-03-16","pop",88.4,65.7,-4.569,"0",9.77,0.589,0,15.4,48.9,107.059,234693
"LOVE. FEAT. ZACARI.","Kendrick Lamar",80,"DAMN.","2017-04-14","r&b",80,58.5,-7.343,"1",9.24,26.4,0,15.3,77.9,126.058,213400
"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",73,"DAMN.","2017-04-14","rap",65.8,53.5,-8.983,"0",5.73,2.65,0,20,41.9,110.684,227360
"Money Trees","Kendrick Lamar",66,"good kid, m.A.A.d city (Deluxe)","2012-10-22","r&b",71.6,53.1,-7.355,"1",12.2,7.03,0,22.4,34.4,71.994,386907
"Poetic Justice","Kendrick Lamar",68,"good kid, m.A.A.d city (Deluxe)","2012","rap",77.9,57.2,-9.985,"0",37.8,15.7,0,24.6,64.7,135.956,300160
"Swimming Pools (Drank)","Kendrick Lamar",7,"Swimming Pools (Drank)","2012-08-03","rap",65.6,44.6,-5.897,"1",26.5,0.695,0.0419,8.8,20.3,74.543,247800
"The Recipe - Bonus Track","Kendrick Lamar",60,"good kid, m.A.A.d city (Deluxe)","2012","rap",75.9,78.2,-6.975,"0",7.41,0.0589,0,35,50.7,131.04,352853
"XXX. FEAT. U2.","Kendrick Lamar",67,"DAMN.","2017-04-14","rap",56.8,61.9,-6.899,"1",41.4,13.8,0.000167,11,29.3,170.115,254200
"m.A.A.d city","Kendrick Lamar",67,"good kid, m.A.A.d city","2012","edm",48.7,72.9,-6.815,"1",27.1,5.38,0.000407,44,21.7,91.048,350120
"La Raza","Kid Frost",51,"Hispanic Causing Panic","1990-01-01","rap",80.1,52.9,-14.875,"1",9.62,4.06,0.0609,9.36,72.1,106.965,209067
"Ya Estuvo","Kid Frost",20,"Hispanic Causing Panic","1990-01-01","latin",84.6,66,-12.988,"1",17.8,14.2,0,22.9,92.3,101.991,245733
"Como Tú (Magic Music Box)","León Larregui",63,"Solstis - De León Larregui","2012-01-01","rock",56.8,90.3,-7.647,"1",9.82,0.0292,72.4,7.64,76.2,122.604,232120
"Locos","León Larregui",71,"Voluma","2016-03-11","rock",72.4,64.6,-6.475,"1",3.52,7.2,0.0157,9.23,95.7,112.019,177600
"Souvenir","León Larregui",62,"Solstis - De León Larregui","2012-01-01","rock",59.4,57.8,-10.676,"0",3.4,67.9,12.3,10.5,53.6,77.481,239120
"I","Lil Skies",81,"Shelby","2019-03-01","pop",64.9,45.3,-7.28,"1",8.5,62.7,0,11.6,43.1,99.183,181891
"Nowadays (feat. Landon Cube)","Lil Skies",76,"Life of a Dark Rose","2017-12-12","rap",74.5,64.6,-6.987,"0",17,15.7,0,33.8,46,79.993,203908
"Certo pra Você","MTK",32,"Certo pra Você","2020-01-17","r&b",78.3,60.8,-6.913,"0",3.54,16.6,0,10.7,64,117.988,211541
"Despedida (feat. Anna & RNT)","MTK",45,"Despedida (feat. Anna & RNT)","2019-07-05","r&b",67,56.2,-6.036,"0",3.5,59.6,0,7.26,44.6,85.887,262587
"Me Diz","MTK",46,"Me Diz","2019-12-06","r&b",66.8,42,-9.187,"0",3.4,72,0,8.37,78.1,124.051,193558
"Pode Me Esperar (feat. Meucci, Tasdan & Agatha)","MTK",54,"Pode Me Esperar (feat. Meucci, Tasdan & Agatha)","2019-09-06","r&b",68.9,68.1,-6.578,"0",2.89,26.5,0,27.2,61.5,104.064,210012
"Bring It On","Mia X",14,"Mama Drama","1998-10-27","rap",73.7,89.2,-5.607,"1",35.8,4.36,0,7.98,66.2,173.786,310827
"Play Wit Pussy","Mia X",10,"Mama Drama","1998-10-27","rap",82.3,63.9,-9.682,"0",33.7,41.8,0,10.3,46.9,159.762,227200
"Whatcha Wanna Do","Mia X",21,"Mama Drama","1998-10-27","rap",70.9,58.7,-8.582,"0",10.7,0.441,0,14,31.3,84.94,280200
"You & Me","Mia X",8,"Unlady Like","1997-01-01","rap",66.3,47.4,-10.111,"0",15.1,0.435,2.92,13.7,54,159.849,278400
"Any Day Will Do Fine","Michael Kiwanuka",29,"Home Again","2012-01-01","r&b",52.2,37.7,-11.692,"0",3.32,62.6,0,11.8,37.4,104.968,220000
"Cold Little Heart - Radio Edit","Michael Kiwanuka",71,"Cold Little Heart (Radio Edit)","2017-02-24","r&b",62.9,58,-6.208,"0",2.78,35.7,0.0353,43.6,65.5,110.264,210300
