"performer","song","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_popularity","billboard_weeks"
"Rare Earth","(I Know) I'm Losing You",215986,0.38,0.532,6,-14.477,1,0.0434,0.537,4.62e-05,0.321,0.79,99.865,4,32,14
"The Temptations","(I Know) I'm Losing You",149493,0.634,0.503,5,-11.89,1,0.0282,0.5,0,0.0465,0.813,109.57,4,44,10
"Martina McBride","(I Never Promised You A) Rose Garden",195573,0.577,0.728,2,-6.944,1,0.0478,0.503,0,0.133,0.78,131.908,4,30,2
"Vanity Fare","(I Remember) Summer Morning",178418,0.528,0.341,4,-12.768,0,0.03,0.922,0,0.135,0.337,111.336,4,3,2
"The Olympics","(I Wanna) Dance With The Teacher",107317,0.567,0.458,4,-15.353,1,0.0623,0.428,0.0412,0.356,0.829,85.189,4,1,5
"Gene Pitney","(I Wanna) Love My Life Away",114906,0.548,0.694,0,-9.356,1,0.0359,0.811,5.38e-05,0.596,0.924,136.36,4,26,8
"The Parliaments","(I Wanna) Testify",183693,0.668,0.702,10,-5.75,1,0.033,0.336,0,0.0521,0.754,105.227,4,16,13
"Dion","(I was) Born To Cry",147560,0.396,0.568,7,-11.25,0,0.0639,0.322,0,0.181,0.607,119.676,4,28,7
"Tab Hunter","(I'll Be With You In) Apple Blossom Time",130759,0.585,0.45,8,-9.468,1,0.0357,0.856,4.92e-06,0.0777,0.627,130.16,4,8,11
"Jr. Walker & The All Stars","(I'm A) Road Runner",165946,0.755,0.695,5,-6.56,1,0.0281,0.0533,0,0.295,0.851,125.256,4,48,12
"Gene Chandler","(I'm Just A) Fool For You",160853,0.564,0.623,2,-9.553,1,0.0319,0.288,1.31e-05,0.0947,0.911,110.613,4,8,2
"The Monkees","(I'm Not Your) Steppin' Stone",146533,0.537,0.677,5,-4.437,1,0.0301,0.0151,0.000199,0.0981,0.324,131.477,4,45,8
"Charley Pride","(I'm So) Afraid Of Losing You Again",173320,0.525,0.354,4,-12.332,1,0.0344,0.466,3.86e-05,0.246,0.495,109.498,4,30,6
"Chicago","(i've Been) Searchin' So Long",268426,0.194,0.591,0,-6.181,1,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4,41,15
"Bobby Rydell","(I've Got) Bonnie",147000,0.329,0.398,2,-7.385,1,0.0286,0.77,0,0.242,0.698,75.194,4,10,11
"Little Willie John","(I've Got) Spring Fever",131533,0.699,0.373,0,-12.653,1,0.0813,0.801,0.518,0.0764,0.73,134.923,4,2,5
"Bill Medley & Jennifer Warnes","(I've Had) The Time Of My Life",289066,0.7,0.781,6,-8.255,0,0.0507,0.0874,0.00342,0.059,0.385,108.695,4,70,21
"Glee Cast","(I've Had) The Time Of My Life",277560,0.459,0.77,9,-5.996,1,0.0472,0.0765,0,0.0879,0.168,110.705,4,49,1
"Barbara Mandrell","(If Loving You Is Wrong) I Don't Want To Be Right",185013,0.628,0.536,4,-10.905,0,0.0324,0.038,1.23e-05,0.115,0.704,74.862,4,35,16
"Luther Ingram","(If Loving You Is Wrong) I Don't Want To Be Right",216800,0.502,0.451,4,-7.423,0,0.0438,0.283,0,0.154,0.531,140.474,4,48,16
"Celine Dion","(If There Was) Any Other Way",240093,0.671,0.784,7,-8.672,0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4,28,12
"Mac Davis","(if You Add) All The Love In The World",213106,0.371,0.433,10,-10.908,1,0.0343,0.66,1.33e-05,0.103,0.359,159.27,4,5,4
"The Drifters","(If You Cry) True Love, True Love",141426,0.511,0.236,0,-14.496,1,0.043,0.67,0,0.0953,0.196,141.222,4,16,11
"Ronnie Dyson","(If You Let Me Make Love To You Then) Why Can't I Touch You?",203746,0.398,0.692,0,-8.596,1,0.045,0.496,0,0.394,0.65,93.907,4,20,14
"Gloria Gaynor","(If You Want It) Do It Yourself",170866,0.686,0.895,6,-6.731,0,0.126,0.144,1.18e-05,0.197,0.729,110.354,4,11,2
"Weezer","(If You're Wondering If I Want You To) I Want You To",208773,0.704,0.869,11,-5.708,0,0.0442,0.00219,0.000117,0.127,0.8,110.015,4,51,9
"Chuck Jackson","(It Never Happens) In Real Life",165440,0.696,0.459,3,-8.464,1,0.0303,0.691,0.0331,0.138,0.849,119.069,4,5,7
"The Duprees featuring Joey Vann","(It's No) Sin",162533,0.353,0.377,7,-9.358,1,0.0294,0.859,7.52e-05,0.068,0.492,107.691,3,11,5
"Four Tops","(It's The Way) Nature Planned It",227386,0.577,0.604,1,-8.412,1,0.0337,0.539,0.00418,0.0794,0.721,92.295,4,32,9
"Steven Tyler","(It) Feels So Good",211293,0.738,0.952,6,-3.386,0,0.0515,0.0631,0,0.216,0.899,122,4,33,4
"The Reflections","(Just Like) Romeo & Juliet",127893,0.773,0.863,3,-9.321,1,0.0356,0.205,0.586,0.188,0.976,145.384,4,28,12
"Sha Na Na","(Just Like) Romeo And Juliet",136240,0.749,0.738,3,-11.538,1,0.0388,0.168,4.6e-06,0.113,0.979,141.185,4,11,10
"John Lennon","(Just Like) Starting Over",236546,0.701,0.79,9,-6.16,1,0.0725,0.301,6.06e-05,0.179,0.421,99.104,4,57,22
"The Human League","(Keep Feeling) Fascination",224733,0.711,0.609,0,-9.042,1,0.0764,0.381,1.24e-06,0.204,0.674,118.132,4,45,20
"Gloriana","(Kissed You) Good Night",232903,0.523,0.747,11,-6.125,1,0.0292,0.0807,0,0.11,0.294,118.97,4,51,20
"The 5th Dimension","(Last Night) I Didn't Get To Sleep At All",192600,0.663,0.58,5,-10.144,0,0.0269,0.453,0.00124,0.0963,0.551,105.229,4,38,16
"Tony Toni Tone","(Lay Your Head On My) Pillow",372026,0.708,0.482,6,-8.962,0,0.04,0.061,1.08e-06,0.0689,0.514,79.086,4,52,15
"The Temptations","(Loneliness Made Me Realize) It's You That I Need",158733,0.555,0.37,0,-12.075,1,0.0311,0.559,0,0.253,0.965,116.912,4,20,9
"The Intruders","(Love Is Like A) Baseball Game",165920,0.654,0.539,0,-7.825,1,0.0274,0.748,0,0.168,0.849,88.978,4,25,9
"Andy Gibb","(Love Is) Thicker Than Water",255960,0.586,0.463,6,-9.929,0,0.0252,0.129,7.08e-05,0.0757,0.551,96.479,4,45,29
"The Fantastics","(Love Me) Love The Life I Lead",186521,0.356,0.549,9,-12.198,1,0.0574,0.35,0,0.0583,0.784,78.331,4,0,4
"Elvis Presley","(Marie's The Name) His Latest Flame",127093,0.661,0.917,4,-6.329,0,0.0375,0.568,0.00202,0.134,0.893,105.289,4,56,11
"Tommy Edwards","(New In) The Ways Of Love",159640,0.386,0.322,7,-13.018,0,0.032,0.715,0,0.0544,0.508,178.668,3,9,9
"Lee Ann Womack","(Now You See Me) Now You Don't",159600,0.626,0.808,2,-6.027,1,0.0613,0.178,0,0.342,0.663,103.964,4,22,11
"Goose Creek Symphony","(Oh Lord Won't You Buy Me A) Mercedes Benz",196333,0.486,0.41,4,-14.328,1,0.0457,0.744,0.00106,0.0775,0.926,88.824,4,25,9
"Van Halen","(oh) Pretty Woman",172670,0.441,0.97,1,-2.1,0,0.0708,0.192,1.68e-06,0.312,0.5,128.289,4,53,16
"Dean Martin","(Open Up The Door) Let The Good Times In",198600,0.443,0.618,1,-12.153,1,0.0846,0.77,2.88e-06,0.47,0.636,78.936,4,34,6
"Andy Gibb","(Our Love) Don't Throw It All Away",250200,0.349,0.344,5,-13.206,1,0.0526,0.359,0.000129,0.603,0.228,142.441,4,48,18
"U2","(Pride) In The Name Of Love",228426,0.464,0.839,4,-7.106,1,0.0329,0.0016,0.000326,0.601,0.75,105.756,4,60,15
"Duran Duran","(Reach Up For The) Sunrise",334586,0.465,0.978,0,-4.071,1,0.129,0.00137,0.000525,0.972,0.38,129.965,4,25,5
"Dean Martin","(Remember Me) I'm The One Who Loves You",145320,0.475,0.507,1,-13.103,1,0.0372,0.646,1.03e-05,0.24,0.59,113.364,4,36,7
"Cat Stevens","(Remember The Days Of The) Old Schoolyard",164826,0.648,0.581,10,-8.684,1,0.0495,0.485,0,0.565,0.61,146.185,4,42,10
"Roy Orbison","(Say) You're My Girl",165426,0.424,0.657,0,-5.801,1,0.0289,0.727,0.000162,0.153,0.85,155.56,4,12,7
"KC And The Sunshine Band","(Shake, Shake, Shake) Shake Your Booty",186906,0.649,0.825,10,-12.243,0,0.0335,0.00606,0.154,0.104,0.961,112.124,4,53,21
"All-4-One","(She's Got) Skillz",245066,0.942,0.595,8,-9.781,0,0.0458,0.152,0.000142,0.0861,0.958,100.41,4,34,20
"Starz","(She's Just A) Fallen Angel",212813,0.423,0.908,1,-3.467,1,0.0823,0.00152,0.000222,0.112,0.387,114.248,4,9,3
"Stray Cats","(she's) Sexy + 17",194066,0.525,0.931,9,-5.593,1,0.0583,0.00831,0,0.106,0.75,89.9,4,42,15
"King Curtis & The Kingpins","(Sittin' On) The Dock Of The Bay",161573,0.729,0.125,2,-21.263,1,0.0318,0.266,0.662,0.101,0.65,104.93,4,6,5
"Michael Bolton","(Sittin' On) The Dock Of The Bay",231240,0.464,0.525,2,-13.806,1,0.0566,0.192,7.23e-06,0.268,0.565,178.352,4,39,17
"Otis Redding","(Sittin' On) The Dock Of The Bay",163755,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,4,73,16
"Sammy Hagar","(Sittin' On) The Dock Of The Bay",182466,0.655,0.52,11,-10.262,0,0.0292,0.0981,0,0.104,0.759,110.824,4,12,5
"Sergio Mendes & Brasil '66","(Sittin' On) The Dock Of The Bay",191760,0.732,0.336,2,-13.925,1,0.0357,0.828,1.1e-05,0.114,0.603,110.842,4,26,5
"The Reddings","(Sittin' On) The Dock Of The Bay",163000,0.724,0.585,7,-6.739,1,0.03,0.0582,0.00285,0.104,0.471,104.761,4,9,9
"Aretha Franklin","(Sweet Sweet Baby) Since You've Been Gone",145264,0.708,0.67,3,-8.142,1,0.029,0.471,0.0314,0.0631,0.94,117.149,4,47,12
"Shirley Ellis","(That's) What The Nitty Gritty Is",154760,0.6,0.912,1,-4.781,1,0.181,0.133,0,0.48,0.824,128.767,4,20,6
"The Newbeats","(The Bees Are For The Birds) The Birds Are For The Bees",133706,0.483,0.478,6,-13.621,1,0.0789,0.749,0,0.258,0.913,170.401,4,2,7
"The Ronettes","(The Best Part Of) Breakin' Up",184346,0.49,0.729,2,-9.046,1,0.0481,0.403,0.00259,0.124,0.546,105.273,4,27,8
"Don Fardon","(The Lament Of The Cherokee) Indian Reservation",201200,0.805,0.473,10,-12.999,1,0.0507,0.24,0.00516,0.177,0.519,124.618,4,14,9
"Bee Gees","(The Lights Went Out In) Massachusetts",176320,0.404,0.498,2,-8.227,1,0.0278,0.149,0.00068,0.551,0.381,104.05,4,5,8
"Gene Pitney","(The Man Who Shot) Liberty Valance",178440,0.602,0.591,1,-8.684,0,0.053,0.739,0,0.175,0.837,88.395,4,41,13
"The Irish Rovers","(The Puppet Song) Whiskey On A Sunday",160800,0.692,0.447,4,-10.839,1,0.0323,0.587,0,0.109,0.557,121.961,4,11,7
"The Alan Parsons Project","(The System Of) Doctor Tarr And Professor Fether",260852,0.502,0.699,10,-7.691,1,0.0301,0.313,0,0.151,0.653,85.212,4,40,10
"Jimmy Smith","(Theme From) Any Number Can Win",131573,0.689,0.89,0,-6.274,1,0.03,0.655,0.883,0.368,0.963,97.863,4,10,1
"Lawrence Welk And His Orchestra","(Theme from) My Three Sons",122600,0.365,0.796,0,-5.441,1,0.0352,0.304,0.936,0.0562,0.954,80.468,4,7,7
"Dionne Warwick","(Theme From) Valley Of The Dolls",218840,0.23,0.273,5,-13.277,1,0.0352,0.871,2.21e-06,0.059,0.0868,74.919,4,36,13
"Dorsey Burnette","(There Was A) Tall Oak Tree",125946,0.602,0.411,7,-10.841,1,0.0558,0.463,0,0.235,0.719,134.25,4,2,15
"Stacie Orrico","(There's Gotta Be) More To Life",200386,0.58,0.922,1,-3.785,1,0.0958,0.0917,0,0.189,0.649,89.841,4,56,20
"Perry Como","(There's No Place Like) Home For The Holidays",171333,0.69,0.189,0,-12.797,1,0.0316,0.897,0,0.133,0.735,78.042,4,66,7
"Dionne Warwick","(There's) Always Something There To Remind Me",179506,0.68,0.328,5,-13.69,1,0.0673,0.737,0,0.581,0.821,84.04,4,40,5
"Lou Johnson","(There's) Always Something There To Remind Me",193973,0.574,0.469,10,-8.163,1,0.0621,0.472,0,0.0742,0.746,77.801,4,25,7
"Sandie Shaw","(There's) Always Something There To Remind Me",166133,0.581,0.395,8,-8.553,1,0.0449,0.747,0,0.0696,0.695,86.119,4,49,7
"Ronnie Milsap","(There's) No Gettin' Over Me",199680,0.595,0.447,1,-10.342,0,0.0323,0.627,0.000586,0.3,0.787,200.528,4,51,20
"Carpenters","(They Long To Be) Close To You",276000,0.533,0.245,8,-14.652,1,0.0326,0.707,4.21e-05,0.122,0.236,89.328,4,61,17
"Jerry Butler & Brenda Lee Eager","(They Long To Be) Close To You",251906,0.441,0.202,0,-16.412,1,0.0366,0.759,0.00017,0.28,0.326,108.105,3,12,3
"Darlene Love","(Today I Met) The Boy I'm Gonna Marry",166053,0.353,0.703,1,-5.847,0,0.0583,0.54,0.0641,0.91,0.608,100.076,4,50,8
"Carpenters","(Want You) Back In My Life Again",220506,0.802,0.539,2,-12.488,0,0.0356,0.103,1.18e-05,0.0699,0.852,127.118,4,33,8
"Blues Magoos","(We Ain't Got) Nothin' Yet",135746,0.417,0.876,10,-8.112,1,0.0499,0.584,0,0.1,0.858,148.399,4,37,14
"The Intruders","(We'll Be) United",171133,0.463,0.493,0,-7.63,1,0.0249,0.363,0,0.567,0.365,90.609,4,28,6
"Martha Reeves & The Vandellas","(We've Got) Honey Love",149133,0.718,0.652,1,-7.51,1,0.154,0.492,0.000135,0.152,0.649,116.764,4,10,6
"Pat Boone","(Welcome) New Lovers",135735,0.582,0.438,8,-16.499,1,0.0388,0.927,0.762,0.511,0.837,119.192,4,4,12
"Ral Donner","(What A Sad Way) To Love Someone",179957,0.61,0.232,3,-17.007,1,0.0287,0.86,7.21e-05,0.106,0.539,79.108,4,2,7
"Naked Eyes","(what) In The Name Of Love",267066,0.705,0.751,4,-12.224,0,0.0385,0.0646,0.000172,0.0881,0.833,113.482,4,31,12
"Sean Paul Featuring Keyshia Cole","(When You Gonna) Give It Up To Me",243880,0.711,0.761,8,-3.04,1,0.225,0.067,0,0.041,0.718,95.824,4,47,22
"Andy Williams","(Where Do I Begin) Love Story",189066,0.259,0.473,6,-10.187,1,0.0324,0.512,1.5e-06,0.4,0.232,84.897,4,57,13
"The Kinks","(Wish I Could Fly Like) Superman",214733,0.772,0.669,1,-11.239,0,0.0444,0.0373,2.05e-05,0.0854,0.96,123.39,4,42,12
"Night Ranger","(You Can Still) Rock In America",255160,0.382,0.772,11,-12.687,0,0.0544,0.000397,7.62e-05,0.166,0.619,164.754,4,47,12
"Chuck Jackson","(You Can't Let The Boy Overpower) The Man In You",186146,0.693,0.398,10,-15.016,0,0.0436,0.0234,0,0.297,0.8,94.646,4,12,1
"The Miracles","(You Can't Let The Boy Overpower) The Man In You",175893,0.393,0.518,7,-8.026,1,0.0403,0.422,0,0.192,0.716,140.742,3,20,5
"Gary Lewis And The Playboys","(You Don't Have To) Paint Me A Picture",136440,0.696,0.416,7,-9.518,1,0.0361,0.515,0,0.0407,0.963,81.623,4,9,8
"Nancy Wilson","(You Don't Know) How Glad I Am",157386,0.326,0.441,5,-9.117,1,0.0479,0.737,9.69e-06,0.328,0.622,208.072,3,59,11
"Britney Spears","(You Drive Me) Crazy",198066,0.748,0.939,0,-4.288,0,0.0341,0.0534,0,0.32,0.96,104.001,4,61,20
"Beastie Boys","(You Gotta) Fight For Your Right (To Party!)",210973,0.69,0.862,8,-4.242,1,0.0324,0.0394,0.000316,0.101,0.749,133.474,4,46,18
"Joe Simon","(You Keep Me) Hangin' On",164826,0.59,0.374,7,-13.498,1,0.0248,0.389,0,0.0757,0.639,96.753,4,11,15
"The McCoys","(You Make Me Feel) So Good",161560,0.798,0.647,4,-10.997,1,0.0459,0.0366,0.051,0.168,0.854,111.872,4,8,4
"Bon Jovi","(You Want To) Make A Memory",276453,0.496,0.44,0,-7.355,1,0.0263,0.117,0.000111,0.12,0.208,147.96,4,54,20
"Jackie Wilson","(You Were Made For) All My Love",125866,0.321,0.468,2,-4.934,1,0.0317,0.898,8.29e-06,0.113,0.411,76.99,4,15,13
"Frankie Valli","(You're Gonna) Hurt Yourself",152293,0.669,0.581,10,-6.929,1,0.0616,0.511,0,0.222,0.659,135.774,4,22,7
"Seduction","(You're My One And Only) True Love",230266,0.665,0.64,10,-12.175,0,0.052,0.0166,0.00167,0.0636,0.672,104.378,4,31,21
"Donny & Marie Osmond","(You're My) Soul And Inspiration",194880,0.271,0.768,2,-4.132,1,0.0514,0.389,6.58e-05,0.105,0.662,200.307,4,17,11
"The Righteous Brothers","(You're My) Soul And Inspiration",201253,0.166,0.433,11,-12.048,1,0.0467,0.732,1.04e-06,0.227,0.277,187.437,4,47,13
"Stephanie Mills","(You're Puttin') A Rush On Me",352933,0.751,0.625,4,-11.256,0,0.055,0.0267,0.00702,0.0545,0.475,101.943,4,30,2
"Joni Mitchell","(you're So Square) Baby, I Don't Care",158000,0.399,0.62,7,-12.266,1,0.0427,0.194,0.00428,0.325,0.594,172.014,4,18,9
"Marv Johnson","(You've Got To) Move Two Mountains",165933,0.735,0.724,10,-7.91,1,0.0494,0.686,3.35e-05,0.126,0.96,130.355,4,5,11
"Mitch Ryder","(You've Got) Personality And Chantilly Lace",223133,0.529,0.88,5,-8.782,1,0.0823,0.0883,0.000394,0.342,0.784,133.742,4,0,4
"Rita Coolidge","(your Love Has Lifted Me) Higher And Higher",241720,0.656,0.646,10,-9.169,0,0.0336,0.0575,0.00464,0.16,0.75,117.586,4,44,27
"Jackie Wilson","(Your Love Keeps Lifting Me) Higher And Higher",181066,0.631,0.69,2,-6.676,1,0.0531,0.176,0,0.121,0.938,94.574,4,70,12
"Playboi Carti","@ MEH",166799,0.876,0.492,11,-8.11,0,0.153,0.0136,0.000283,0.0678,0.4,151.044,4,66,1
"Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie","***Flawless",234413,0.639,0.659,8,-7.273,1,0.215,0.241,8.33e-06,0.484,0.457,136.801,4,68,20
"Goody Goody","#1 Dee Jay",206106,0.859,0.376,7,-16.542,0,0.0439,0.0536,0.0963,0.0605,0.902,127.202,4,0,5
"Nelly","#1",198760,0.792,0.6,7,-6.157,1,0.228,0.0236,0,0.419,0.463,89.985,4,50,20
"John Lennon","#9 Dream",286813,0.406,0.597,0,-11.745,1,0.0336,0.0744,0.0133,0.254,0.478,115.474,4,55,12
"Mariah Carey Featuring Miguel","#Beautiful",199866,0.677,0.749,4,-5.405,1,0.0391,0.346,0,0.347,0.469,107.042,4,56,16
"The Chainsmokers","#SELFIE",183750,0.807,0.916,0,-3.282,1,0.226,0.0134,1.22e-05,0.0787,0.651,127.973,4,65,11
"will.i.am Featuring Justin Bieber","#thatPOWER",279506,0.797,0.608,6,-6.096,0,0.0583,0.00112,7.66e-05,0.0748,0.403,128,4,68,16
"Lil Dicky Featuring Fetty Wap & Rich Homie Quan","$ave Dat Money",290835,0.858,0.697,2,-5.361,1,0.23,0.114,0,0.224,0.364,98.012,4,71,19
"Drake","0 To 100 / The Catch Up",275226,0.707,0.709,11,-3.979,0,0.34,0.763,0,0.274,0.501,89.094,4,73,20
